iter	Passed	Remaining
758	2661	845
759	2663	841
760	2665	837
761	2667	833
762	2669	829
763	2671	825
764	2674	821
765	2676	817
766	2680	814
767	2682	810
768	2684	806
769	2688	803
770	2690	799
771	2693	795
772	2695	791
773	2697	787
774	2699	783
775	2704	780
776	2706	776
777	2708	772
778	2710	769
779	2713	765
780	2715	761
781	2720	758
782	2722	754
783	2724	750
784	2726	746
785	2728	742
786	2730	739
787	2736	736
788	2738	732
789	2741	728
790	2743	724
791	2745	721
792	2747	717
793	2752	714
794	2754	710
795	2757	706
796	2759	702
797	2761	698
798	2763	695
799	2766	691
800	2768	687
801	2774	685
802	2779	681
803	2781	678
804	2783	674
805	2785	670
806	2787	666
807	2789	662
808	2791	659
809	2797	656
810	2799	652
811	2801	648
812	2803	644
813	2805	641
814	2807	637
815	2810	633
816	2812	629
817	2814	626
818	2816	622
819	2818	618
820	2824	615
821	2826	612
822	2828	608
823	2830	604
824	2832	600
825	2834	597
826	2839	594
827	2842	590
828	2846	587
829	2848	583
830	2850	579
831	2856	576
832	2858	573
833	2860	569
834	2862	565
835	2864	562
836	2868	558
837	2871	555
838	2873	551
839	2877	548
840	2879	544
841	2884	541
842	2887	537
843	2889	534
844	2891	530
845	2893	526
846	2895	523
847	2901	520
848	2903	516
849	2909	513
850	2911	509
851	2916	506
852	2918	503
853	2920	499
854	2923	495
855	2925	492
856	2927	488
857	2932	485
858	2935	481
859	2937	478
860	2939	474
861	2941	470
862	2943	467
863	2949	464
864	2951	460
865	2953	456
866	2955	453
867	2957	449
868	2959	446
869	2971	444
870	2975	440
871	2981	437
872	2983	434
873	2985	430
874	2987	426
875	2989	423
876	2994	419
877	2997	416
878	2999	412
879	3001	409
880	3003	405
881	3005	402
882	3007	398
883	3010	395
884	3012	391
885	3014	387
886	3016	384
887	3018	380
888	3020	377
889	3027	374
890	3029	370
891	3031	367
892	3033	363
893	3035	359
894	3040	356
895	3043	353
896	3045	349
897	3047	346
898	3049	342
899	3051	339
900	3054	335
901	3057	332
902	3059	328
903	3061	325
904	3063	321
905	3065	318
906	3067	314
907	3069	311
908	3071	307
909	3073	304
910	3075	300
911	3078	297
912	3081	293
913	3084	290
914	3086	286
915	3090	283
916	3092	279
917	3094	276
918	3100	273
919	3102	269
920	3104	266
921	3106	262
922	3108	259
923	3110	255
924	3115	252
925	3117	249
926	3119	245
927	3121	242
928	3123	238
929	3125	235
930	3130	232
931	3132	228
932	3134	225
933	3136	221
934	3138	218
935	3140	214
936	3144	211
937	3146	207
938	3148	204
939	3150	201
940	3153	197
941	3155	194
942	3157	190
943	3162	187
944	3164	184
945	3166	180
946	3168	177
947	3170	173
948	3172	170
949	3177	167
950	3197	164
951	3199	161
952	3201	157
953	3203	154
954	3209	151
955	3211	147
956	3213	144
957	3215	140
958	3217	137
959	3219	134
960	3223	130
961	3226	127
962	3228	124
963	3230	120
964	3232	117
965	3235	113
966	3240	110
967	3242	107
968	3244	103
969	3246	100
970	3248	97
971	3250	93
972	3255	90
973	3258	86
974	3260	83
975	3262	80
976	3264	76
977	3266	73
978	3272	70
979	3274	66
980	3276	63
981	3278	60
982	3280	56
983	3282	53
984	3288	50
985	3290	46
986	3294	43
987	3296	40
988	3302	36
989	3304	33
990	3306	30
991	3308	26
992	3310	23
993	3312	19
994	3317	16
995	3320	13
996	3322	9
997	3324	6
998	3326	3
999	3328	0
